App,Category,Rating,Reviews,Size,Installs,Type,Price
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,5.0689042022202315,19.0,4.0,Free,0.0
Coloring book moana,ART_AND_DESIGN,3.9,6.874198495453294,14.0,5.698970004336018,Free,0.0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,11.379508351529877,8.7,6.698970004336019,Free,0.0
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,12.281384178827809,25.0,7.698970004336018,Free,0.0
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,6.874198495453294,2.8,5.0,Free,0.0
Paper flowers instructions,ART_AND_DESIGN,4.4,5.117993812416755,5.6,4.698970004336019,Free,0.0
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,5.181783550292085,19.0,4.698970004336019,Free,0.0
Infinite Painter,ART_AND_DESIGN,4.1,10.513660649802818,29.0,5.999999999999999,Free,0.0
Garden Coloring Book,ART_AND_DESIGN,4.4,9.531771484474337,33.0,5.999999999999999,Free,0.0
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,4.795790545596741,3.1,4.0,Free,0.0
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,9.538204234060796,28.0,5.999999999999999,Free,0.0
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,9.081142433504501,12.0,5.999999999999999,Free,0.0
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,10.710610530409502,20.0,7.0,Free,0.0
Mandala Coloring Book,ART_AND_DESIGN,4.6,8.372398606513004,21.0,5.0,Free,0.0
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,7.325148957955575,37.0,5.0,Free,0.0
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,4.007333185232471,2.7,3.6989700043360187,Free,0.0
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,8.197538739721184,5.5,5.698970004336018,Free,0.0
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,3.295836866004329,17.0,4.0,Free,0.0
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,12.176726220734944,39.0,6.698970004336019,Free,0.0
ibis Paint X,ART_AND_DESIGN,4.6,12.321180996292764,31.0,7.0,Free,0.0
Logo Maker - Small Business,ART_AND_DESIGN,4.0,6.1092475827643655,14.0,5.0,Free,0.0
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,6.483107351457199,12.0,5.0,Free,0.0
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,8.94884572927805,4.2,5.698970004336018,Free,0.0
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,4.770684624465665,23.0,4.698970004336019,Free,0.0
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,5.2574953720277815,6.0,4.0,Free,0.0
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,9.916403777802675,25.0,5.698970004336018,Free,0.0
Animated Photo Editor,ART_AND_DESIGN,4.1,5.313205979041787,6.1,5.0,Free,0.0
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,4.912654885736052,4.6,4.0,Free,0.0
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,5.407171771460119,4.2,5.0,Free,0.0
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,7.02108396428914,9.2,5.0,Free,0.0
Art Drawing Ideas,ART_AND_DESIGN,4.1,5.424950017481403,5.2,4.698970004336019,Free,0.0
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,8.524168805152662,11.0,5.0,Free,0.0
Easy Origami Ideas,ART_AND_DESIGN,4.2,6.922643891475888,11.0,5.0,Free,0.0
I Creative Idea,ART_AND_DESIGN,4.7,5.8664680569332965,4.2,4.0,Free,0.0
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,6.335054251498059,9.2,5.0,Free,0.0
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,9.005159521036145,24.0,5.698970004336018,Free,0.0
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,5.062595033026967,11.0,4.0,Free,0.0
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,6.3818160174060985,9.4,5.698970004336018,Free,0.0
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,4.762173934797756,15.0,4.0,Free,0.0
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,5.170483995038151,10.0,5.0,Free,0.0
Paint Splash!,ART_AND_DESIGN,3.8,7.698936199813447,1.2,5.0,Free,0.0
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,3.258096538021482,12.0,4.0,Free,0.0
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,12.069857655276449,24.0,7.0,Free,0.0
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,6.975413927455952,26.0,5.0,Free,0.0
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,4.442651256490317,8.0,5.0,Free,0.0
How To Draw Food,ART_AND_DESIGN,4.3,6.739336627357174,7.9,5.0,Free,0.0
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,5.905361848054571,25.0,5.0,Free,0.0
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,7.37650812632622,56.0,5.999999999999999,Free,0.0
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,5.648974238161206,57.0,5.0,Free,0.0
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,4.859812404361672,35.0,5.0,Free,0.0
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,6.295266001439646,33.0,5.0,Free,0.0
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,9.257128533474942,33.0,5.0,Free,0.0
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,6.690842277418564,5.6,4.698970004336019,Free,0.0
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,4.859812404361672,54.0,5.0,Free,0.0
Restart Navigator,AUTO_AND_VEHICLES,4.0,7.246368080102461,201.0,5.0,Free,0.0
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,8.286773231131251,3.6,5.0,Free,0.0
CityBus Lviv,AUTO_AND_VEHICLES,4.6,6.280395838960195,5.7,4.0,Free,0.0
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,8.958540111412168,17.0,5.0,Free,0.0
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,10.567360390392079,8.6,5.999999999999999,Free,0.0
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,7.796057974316123,2.4,5.0,Free,0.0
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,8.714403360703942,27.0,5.0,Free,0.0
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,5.68697535633982,2.7,4.0,Free,0.0
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,5.247024072160486,2.5,4.698970004336019,Free,0.0
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,10.869139713948007,7.0,6.698970004336019,Free,0.0
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,11.66980954850063,35.0,6.698970004336019,Free,0.0
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,7.229113877793302,16.0,5.698970004336018,Free,0.0
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,12.513263184369997,16.0,7.0,Free,0.0
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,8.85666093701725,17.0,5.698970004336018,Free,0.0
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,5.2832037287379885,3.4,4.698970004336019,Free,0.0
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,6.602587892189336,8.9,5.0,Free,0.0
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,8.181440695719374,3.9,5.999999999999999,Free,0.0
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,6.901737206656574,2.9,5.0,Free,0.0
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,12.19164912486445,38.0,5.999999999999999,Free,0.0
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,4.955827057601261,32.0,4.698970004336019,Free,0.0
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,9.626943224494804,37.0,5.999999999999999,Free,0.0
Supervision service,AUTO_AND_VEHICLES,4.0,7.675546002537848,15.0,5.698970004336018,Free,0.0
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,4.927253685157205,5.4,5.0,Free,0.0
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,8.596743470174246,18.0,5.999999999999999,Free,0.0
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,5.8522024797744745,38.0,5.0,Free,0.0
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,5.521460917862246,1.1,5.0,Free,0.0
SMS Park,AUTO_AND_VEHICLES,4.5,8.193400231952097,7.9,5.0,Free,0.0
SKencar,AUTO_AND_VEHICLES,3.7,8.477620416296414,35.0,5.999999999999999,Free,0.0
auto fines,AUTO_AND_VEHICLES,4.6,10.355613575443341,17.0,5.999999999999999,Free,0.0
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,8.536407410340042,19.0,5.999999999999999,Free,0.0
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,7.469654172932128,14.0,5.698970004336018,Free,0.0
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,7.893572073504902,2.2,5.698970004336018,Free,0.0
Gas Station,AUTO_AND_VEHICLES,4.0,7.160845906664299,4.5,5.0,Free,0.0
Hush - Beauty for Everyone,BEAUTY,4.7,9.846917201047734,17.0,5.698970004336018,Free,0.0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,10.815569439636228,14.0,5.999999999999999,Free,0.0
Natural recipes for your beauty,BEAUTY,4.7,7.047517221357296,9.8,5.0,Free,0.0
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,7.461065514354283,21.0,5.698970004336018,Free,0.0
Beauty Selfie Camera,BEAUTY,4.2,7.707512194600341,52.0,5.698970004336018,Free,0.0
Hairstyles step by step,BEAUTY,4.6,8.382289428951436,14.0,5.0,Free,0.0
Filters for Selfie,BEAUTY,4.3,9.056256356593467,25.0,5.999999999999999,Free,0.0
Tie - Always be happy,BEAUTY,4.7,6.871091294610546,9.0,4.698970004336019,Free,0.0
Prom MakeUp Tutorial,BEAUTY,4.8,4.6443908991413725,12.0,4.0,Free,0.0
Sweet Selfie Beauty Camera,BEAUTY,4.3,6.398594934535208,35.0,5.0,Free,0.0
Colors of white in Urdu,BEAUTY,4.5,3.58351893845611,6.7,4.0,Free,0.0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,5.231108616854587,30.0,4.698970004336019,Free,0.0
Eyes Makeup Beauty Tips,BEAUTY,4.2,3.4011973816621555,2.9,4.0,Free,0.0
Photo Editor 2018,BEAUTY,4.5,4.897839799950911,17.0,4.0,Free,0.0
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,4.30406509320417,2.9,4.0,Free,0.0
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9.13938128303569,2.6,5.999999999999999,Free,0.0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,4.31748811353631,4.2,4.698970004336019,Free,0.0
